Date,USDT-USD,XMR-USD,ADA-USD,BTC-USD,ETH-USD,XLM-USD,XRP-USD,DOGE-USD,LTC-USD,BNB-USD
2017-11-09,1.008180022239685,120.77999877929688,0.03205300122499466,7143.580078125,320.8840026855469,0.03994600102305412,0.21748800575733185,0.0014149999478831887,64.26969909667969,1.9907699823379517
2017-11-10,1.0060100555419922,105.58599853515625,0.027118999511003494,6618.14013671875,299.25299072265625,0.033073000609874725,0.20648300647735596,0.0011630000080913305,59.260101318359375,1.796839952468872
2017-11-11,1.0089900493621826,119.61599731445312,0.02743699960410595,6357.60009765625,314.6809997558594,0.03305299952626228,0.21042999625205994,0.0012009999481961131,62.30329895019531,1.6704699993133545
2017-11-12,1.012470006942749,123.85600280761719,0.023977000266313553,5950.06982421875,307.9079895019531,0.028181999921798706,0.1973389983177185,0.0010379999876022339,59.005401611328125,1.5196900367736816
2017-11-13,1.0093499422073364,123.4020004272461,0.025807999074459076,6559.490234375,316.71600341796875,0.0306560005992651,0.20344200730323792,0.0012110000243410468,61.39649963378906,1.6866199970245361
2017-11-14,1.0068299770355225,122.35299682617188,0.02622999995946884,6635.75,337.6310119628906,0.03637399896979332,0.20982499420642853,0.0011840000515803695,62.67959976196289,1.592579960823059
2017-11-15,1.0031800270080566,121.3740005493164,0.026444999501109123,7315.5400390625,333.35699462890625,0.037053000181913376,0.2129559963941574,0.0013389999512583017,63.82360076904297,1.5304499864578247
2017-11-16,1.002120018005371,120.30500030517578,0.027580000460147858,7871.68994140625,330.92401123046875,0.037234000861644745,0.2271070033311844,0.0013899999903514981,71.0602035522461,1.5779199600219727
2017-11-17,1.001389980316162,126.69999694824219,0.025772999972105026,7708.990234375,332.3940124511719,0.03557199984788895,0.22658100724220276,0.0013129999861121178,67.56900024414062,1.5103600025177002
2017-11-18,1.002310037612915,130.7989959716797,0.0263689998537302,7790.14990234375,347.61199951171875,0.03658299893140793,0.22862699627876282,0.0013729999773204327,69.6436996459961,1.6743299961090088
2017-11-19,1.0024399757385254,129.47900390625,0.028084000572562218,8036.490234375,354.385986328125,0.03656600043177605,0.23101599514484406,0.0013760000001639128,71.58930206298828,1.6137700080871582
2017-11-20,1.0019199848175049,135.76499938964844,0.02958099916577339,8200.6396484375,366.7300109863281,0.038120999932289124,0.23875899612903595,0.0013940000208094716,72.25279998779297,1.6244499683380127
2017-11-21,0.9960470199584961,141.73800659179688,0.02833000011742115,8071.259765625,360.4010009765625,0.037668000906705856,0.23327100276947021,0.0013889999827370048,70.0282974243164,1.5740599632263184
2017-11-22,1.0001499652862549,165.9499969482422,0.02854900062084198,8253.5498046875,380.6520080566406,0.042298998683691025,0.23885899782180786,0.0018230000277981162,71.8927993774414,1.6117500066757202
2017-11-23,0.9946309924125671,158.60699462890625,0.02744399942457676,8038.77001953125,410.1659851074219,0.04053499922156334,0.24240200221538544,0.0018909999635070562,73.22339630126953,1.548699975013733
2017-11-24,1.00232994556427,160.02699279785156,0.02838199958205223,8253.6904296875,474.9110107421875,0.04019299894571304,0.2446420043706894,0.0019079999765381217,77.96829986572266,1.717710018157959
2017-11-25,1.0054099559783936,168.44200134277344,0.03044700063765049,8790.919921875,466.2760009765625,0.04363900050520897,0.2523930072784424,0.0020719999447464943,88.81690216064453,1.8738700151443481
2017-11-26,1.008679986000061,163.37399291992188,0.03633200004696846,9330.5498046875,471.3299865722656,0.048895999789237976,0.24881799519062042,0.0020260000601410866,85.92680358886719,1.8531299829483032
2017-11-27,1.001289963722229,173.39199829101562,0.050592999905347824,9818.349609375,480.3550109863281,0.059843000024557114,0.25392699241638184,0.001988000003620982,91.60269927978516,1.9429800510406494
